name	div	num_date	clade_membership	subclade	haplotype
A/Kanagawa/IC2201/2022	0.044472749986931986	2022.8808219178081	2a.3a	G.1.3.1	G.1.3.1:135A,223V
A/Togo/1861/2022	0.04504540117361061	2022.7301369863014	2a.3a	G.1.3.1	G.1.3.1:160K,223V,312N
A/RhodeIsland/5/2022	0.04220036389819835	2022.0479452054794	2a.3a	G.1.3.1	G.1.3.1:223V
A/Singapore/KK0032/2022	0.04334049169150675	2022.2753424657535	2a.3a	G.1.3.1	G.1.3.1:83K
A/Togo/941/2022	0.04276852782767261	2022.2780821917809	2a.3a	G.1.3.1	G.1.3.1:9N,223V
A/SriLanka/6/2022	0.04106308295413545	2022.6972602739727	2a.3b	G.1.3.2	G.1.3.2
A/Pakistan/GIHSN/ICT/1339/2023	0.0439074787440984	2023.182191780822	2a.3b	G.1.3.2	G.1.3.2:83K
A/SaoPaulo/21596/2022	0.04276853577846975	2022.6616438356164	2a.3	G.1.3	G.1.3:135K,145N
A/Congo/26/2022	0.04219970070204349	2022.0342465753424	2a.3	G.1.3	G.1.3:160M
A/Bhutan/442/2022	0.04219995646778305	2022.0123287671233	2a.3	G.1.3	G.1.3:214T
A/Washington/1/2022	0.04163241299320948	2022.0068493150684	2a.3	G.1.3	G.1.3:291N
A/Bhutan/6/2023	0.04846338260354774	2023.182191780822	2a.3	G.1.3	G.1.3:48T,173R
A/Bhutan/79/2022	0.04447384117368404	2022.831506849315	2a.3	G.1.3	G.1.3:6D,48T
A/TimorLeste/60/2022	0.038790085937597675	2022.1465753424657	2a	G.1	G.1:104N,217V
A/Netherlands/1221/2022	0.04049633955654549	2022.6698630136987	2a	G.1	G.1:201K
A/Victoria/4312/2022	0.039968306839621257	2022.5	2a	G.1	G.1:53G
A/Tumbes/FPT02261/2022	0.03879164431393441	2022.009589041096	2a	G.1	G.1:53N
A/Santiago/44462/2022	0.04106653758474731	2022.2369863013698	2a	G.1	G.1:53N,238R
A/Hawaii/25/2022	0.04106816112775409	2022.521917808219	2a	G.1	G.1:53N,262N,289S
A/Hawaii/37/2022	0.039360638739194036	2022.6479452054793	2a	G.1	G.1:53N,289S
A/Hyogo/4010/2022	0.04163660131920981	2022.5164383561644	2a	G.1	G.1:53N,289S,307K
A/TimorLeste/35/2022	0.03992822857130457	2022.0945205479452	2a	G.1	G.1:78D,104N,217V
A/SouthAfrica/R07208/2022	0.038786727491947115	2022.4397260273972	2b	G.2	G.2
A/Victoria/5222/2022	0.040491741883794376	2022.941095890411	2b	G.2.1	G.2.1
A/Luga/RII-11393S/2023	0.042197052727952086	2023.1	2b	G.2.1	G.2.1:269K
A/Italy/13528/2022	0.04105979677049917	2022.7931506849316	2b	G.2.1	G.2.1:5E
A/Victoria/5173/2022	0.04106067776640737	2022.8561643835617	2b	G.2.2	G.2.2
A/Yokohama/4/2022	0.042766740721707726	2022.9465753424658	2b	G.2.2	G.2.2:101E
A/SouthDakota/22/2023	0.04106164950280076	2023.1493150684933	2b	G.2	G.2:101E
A/Bahrain/1178/2022	0.03992302444693234	2022.2671232876712	2b	G.2	G.2:242M
A/Thuringen/24/2022	0.039355506376868285	2022.4671232876713	2b	G.2	G.2:262N
A/Netherlands/1217/2022	0.04219742564926905	2022.6178082191782	2b	G.2	G.2:50I,242M
A/SuratThani/P152/2023	0.041630503016920846	2023.031506849315	2b	G.2	G.2:7G
A/Florida/1/2022	0.03594306203226574	2022.0260273972603	2c	G.3	G.3
A/Madagascar/837/2022	0.03879112108915315	2022.0260273972603	2c	G.3	G.3:53N,201K
